2023-12-11 16:33:31; INFO; wrote password into file for user in res/passwords_class.txt
2023-12-11 16:33:31; DEBUG; generated password
2023-12-11 16:33:31; DEBUG; opened file res/create_class.sh
2023-12-11 16:33:31; INFO; wrote useradd into res/create_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/delete_class.sh
2023-12-11 16:33:31; INFO; wrote userdel into res/delete_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/passwords_class.txt
2023-12-11 16:33:31; INFO; wrote password into file for user in res/passwords_class.txt
2023-12-11 16:33:31; DEBUG; generated password
2023-12-11 16:33:31; DEBUG; opened file res/create_class.sh
2023-12-11 16:33:31; INFO; wrote useradd into res/create_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/delete_class.sh
2023-12-11 16:33:31; INFO; wrote userdel into res/delete_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/passwords_class.txt
2023-12-11 16:33:31; INFO; wrote password into file for user in res/passwords_class.txt
2023-12-11 16:33:31; DEBUG; generated password
2023-12-11 16:33:31; DEBUG; opened file res/create_class.sh
2023-12-11 16:33:31; INFO; wrote useradd into res/create_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/delete_class.sh
2023-12-11 16:33:31; INFO; wrote userdel into res/delete_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/passwords_class.txt
2023-12-11 16:33:31; INFO; wrote password into file for user in res/passwords_class.txt
2023-12-11 16:33:31; DEBUG; generated password
2023-12-11 16:33:31; DEBUG; opened file res/create_class.sh
2023-12-11 16:33:31; INFO; wrote useradd into res/create_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/delete_class.sh
2023-12-11 16:33:31; INFO; wrote userdel into res/delete_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/passwords_class.txt
2023-12-11 16:33:31; INFO; wrote password into file for user in res/passwords_class.txt
2023-12-11 16:33:31; DEBUG; generated password
2023-12-11 16:33:31; DEBUG; opened file res/create_class.sh
2023-12-11 16:33:31; INFO; wrote useradd into res/create_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/delete_class.sh
2023-12-11 16:33:31; INFO; wrote userdel into res/delete_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/passwords_class.txt
2023-12-11 16:33:31; INFO; wrote password into file for user in res/passwords_class.txt
2023-12-11 16:33:31; DEBUG; generated password
2023-12-11 16:33:31; DEBUG; opened file res/create_class.sh
2023-12-11 16:33:31; INFO; wrote useradd into res/create_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/delete_class.sh
2023-12-11 16:33:31; INFO; wrote userdel into res/delete_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/passwords_class.txt
2023-12-11 16:33:31; INFO; wrote password into file for user in res/passwords_class.txt
2023-12-11 16:33:31; DEBUG; generated password
2023-12-11 16:33:31; DEBUG; opened file res/create_class.sh
2023-12-11 16:33:31; INFO; wrote useradd into res/create_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/delete_class.sh
2023-12-11 16:33:31; INFO; wrote userdel into res/delete_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/passwords_class.txt
2023-12-11 16:33:31; INFO; wrote password into file for user in res/passwords_class.txt
2023-12-11 16:33:31; DEBUG; generated password
2023-12-11 16:33:31; DEBUG; opened file res/create_class.sh
2023-12-11 16:33:31; INFO; wrote useradd into res/create_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/delete_class.sh
2023-12-11 16:33:31; INFO; wrote userdel into res/delete_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/passwords_class.txt
2023-12-11 16:33:31; INFO; wrote password into file for user in res/passwords_class.txt
2023-12-11 16:33:31; DEBUG; generated password
2023-12-11 16:33:31; DEBUG; opened file res/create_class.sh
2023-12-11 16:33:31; INFO; wrote useradd into res/create_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/delete_class.sh
2023-12-11 16:33:31; INFO; wrote userdel into res/delete_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/passwords_class.txt
2023-12-11 16:33:31; INFO; wrote password into file for user in res/passwords_class.txt
2023-12-11 16:33:31; DEBUG; generated password
2023-12-11 16:33:31; DEBUG; opened file res/create_class.sh
2023-12-11 16:33:31; INFO; wrote useradd into res/create_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/delete_class.sh
2023-12-11 16:33:31; INFO; wrote userdel into res/delete_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/passwords_class.txt
2023-12-11 16:33:31; INFO; wrote password into file for user in res/passwords_class.txt
2023-12-11 16:33:31; DEBUG; generated password
2023-12-11 16:33:31; DEBUG; opened file res/create_class.sh
2023-12-11 16:33:31; INFO; wrote useradd into res/create_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/delete_class.sh
2023-12-11 16:33:31; INFO; wrote userdel into res/delete_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/passwords_class.txt
2023-12-11 16:33:31; INFO; wrote password into file for user in res/passwords_class.txt
2023-12-11 16:33:31; DEBUG; generated password
2023-12-11 16:33:31; DEBUG; opened file res/create_class.sh
2023-12-11 16:33:31; INFO; wrote useradd into res/create_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/delete_class.sh
2023-12-11 16:33:31; INFO; wrote userdel into res/delete_class.sh
2023-12-11 16:33:31; DEBUG; opened file res/passwords_class.txt
2023-12-11 16:33:31; INFO; wrote password into file for user in res/passwords_class.txt
